"","x"
"1","Sebastian Zietz"
"2","Julian Wilson"
"3","Joel Parkinson"
"4","Italo Ferreira"
"5","Nat Young"
"6","Leonardo Fioravanti"
"7","Kolohe Andino"
"8","Caio Ibelli"
"9","Matt Wilkinson"
"10","Adrian Buchan"
"11","Gabriel Medina"
"12","Jordy Smith"
"13","Matt Banting"
"14","Michel Bourez"
"15","Miguel Pupo"
"16","Taj Burrow"
"17","Josh Kerr"
"18","Adriano de Souza"
"19","Adam Melling"
"20","Wiggolly Dantas"
"21","Kanoa Igarashi"
"22","Jeremy Flores"
"23","John John Florence"
"24","Alejo Muniz"
"25","Jay Davies"
"26","Jacob Willcox"
"27","Kelly Slater"
"28","Jack Robinson"
"29","Dusty Payne"
"30","Conner Coffin"
"31","Alex Ribeiro"
"32","Kai Otton"
"33","Stuart Kennedy"
"34","Ryan Callinan"
"35","Davey Cathels"
"36","Keanu Asing"
