"","x"
"1","John John Florence"
"2","Jack Freestone"
"3","Adriano de Souza"
"4","Gabriel Medina"
"5","Dusty Payne"
"6","Davey Cathels"
"7","Miguel Pupo"
"8","Adam Melling"
"9","Caio Ibelli"
"10","Filipe Toledo"
"11","Italo Ferreira"
"12","Michel Bourez"
"13","Leonardo Fioravanti"
"14","Alejo Muniz"
"15","Nat Young"
"16","Ryan Callinan"
"17","Stuart Kennedy"
"18","Lucas Silveira"
"19","Marco Fernandez"
"20","Kanoa Igarashi"
"21","Sebastian Zietz"
"22","Jordy Smith"
"23","Matt Banting"
"24","Deivid Silva"
"25","Bino Lopes"
"26","Matt Wilkinson"
"27","Julian Wilson"
"28","Alex Ribeiro"
"29","Jeremy Flores"
"30","Kolohe Andino"
"31","Keanu Asing"
"32","Jadson Andre"
"33","Adrian Buchan"
"34","Wiggolly Dantas"
"35","Josh Kerr"
"36","Conner Coffin"
