"","x"
"1","Gabriel Medina"
"2","Bede Durbidge"
"3","Julian Wilson"
"4","Adriano de Souza"
"5","Italo Ferreira"
"6","Mick Fanning"
"7","Owen Wright"
"8","John John Florence"
"9","Jadson Andre"
"10","Kolohe Andino"
"11","Jeremy Flores"
"12","Matt Wilkinson"
"13","Brett Simpson"
"14","Nat Young"
"15","Kelly Slater"
"16","Keanu Asing"
"17","Adrian Buchan"
"18","Maxime Huscenot"
"19","Tomas Hermes"
"20","Kai Otton"
"21","Michel Bourez"
"22","C.J. Hobgood"
"23","Josh Kerr"
"24","Dane Reynolds"
"25","Filipe Toledo"
"26","Caio Ibelli"
"27","Aritz Aranburu"
"28","Dusty Payne"
"29","Alejo Muniz"
"30","Ricardo Christie"
"31","Glenn Hall"
"32","Wiggolly Dantas"
"33","Joel Parkinson"
"34","Adam Melling"
"35","Sebastian Zietz"
"36","Miguel Pupo"
