"","x"
"1","Adrian Buchan"
"2","Kelly Slater"
"3","Mick Fanning"
"4","Kai Otton"
"5","Josh Kerr"
"6","John John Florence"
"7","Julian Wilson"
"8","Freddy Patacchia Jr."
"9","Jeremy Flores"
"10","Jordy Smith"
"11","C.J. Hobgood"
"12","Joel Parkinson"
"13","Damien Hobgood"
"14","Kieren Perrow"
"15","Miguel Pupo"
"16","Bede Durbidge"
"17","Matt Wilkinson"
"18","Adam Melling"
"19","Yadin Nicol"
"20","Gabriel Medina"
"21","Taj Burrow"
"22","Nat Young"
"23","Adriano de Souza"
"24","Michel Bourez"
"25","Patrick Gudauskas"
"26","Alejo Muniz"
"27","Sebastian Zietz"
"28","Filipe Toledo"
"29","Brett Simpson"
"30","Kolohe Andino"
"31","Travis Logie"
