"","x"
"1","Filipe Toledo"
"2","Julian Wilson"
"3","Miguel Pupo"
"4","Adriano de Souza"
"5","Wiggolly Dantas"
"6","Taj Burrow"
"7","Mick Fanning"
"8","Bede Durbidge"
"9","Glenn Hall"
"10","Italo Ferreira"
"11","Matt Wilkinson"
"12","Jordy Smith"
"13","Kelly Slater"
"14","Josh Kerr"
"15","Joel Parkinson"
"16","Sebastian Zietz"
"17","Nat Young"
"18","Gabriel Medina"
"19","Dusty Payne"
"20","Owen Wright"
"21","Freddy Patacchia Jr."
"22","Matt Banting"
"23","Kolohe Andino"
"24","John John Florence"
"25","Dane Reynolds"
"26","Jack Freestone"
"27","Michel Bourez"
"28","C.J. Hobgood"
"29","Ricardo Christie"
"30","Brett Simpson"
"31","Jeremy Flores"
"32","Keanu Asing"
"33","Adrian Buchan"
"34","Adam Melling"
"35","Kai Otton"
"36","Jadson Andre"
