"","x"
"1","Adriano de Souza"
"2","Nat Young"
"3","Taj Burrow"
"4","Jordy Smith"
"5","Kai Otton"
"6","Willian Cardoso"
"7","Mick Fanning"
"8","Filipe Toledo"
"9","Adrian Buchan"
"10","Josh Kerr"
"11","Raoni Monteiro"
"12","C.J. Hobgood"
"13","Dusty Payne"
"14","Jeremy Flores"
"15","Julian Wilson"
"16","Sebastian Zietz"
"17","Bede Durbidge"
"18","Kelly Slater"
"19","Joel Parkinson"
"20","Damien Hobgood"
"21","Kolohe Andino"
"22","Gabriel Medina"
"23","Alejo Muniz"
"24","Tiago Pires"
"25","Jacob Willcox"
"26","Patrick Gudauskas"
"27","Michel Bourez"
"28","Owen Wright"
"29","Glenn Hall"
"30","Adam Melling"
"31","Brett Simpson"
"32","Travis Logie"
"33","Kieren Perrow"
"34","Matt Wilkinson"
