"","x"
"1","Andy Irons"
"2","C.J. Hobgood"
"3","Jeremy Flores"
"4","Kelly Slater"
"5","Tiago Pires"
"6","Freddy Patacchia Jr."
"7","Adrian Buchan"
"8","Patrick Gudauskas"
"9","Dane Reynolds"
"10","Adriano de Souza"
"11","Owen Wright"
"12","Adam Melling"
"13","Michel Bourez"
"14","Mick Fanning"
"15","Damien Hobgood"
"16","Blake Thornton"
"17","Luke Munro"
"18","Dean Morrison"
"19","Joan Duru"
"20","Jay Thompson"
"21","Travis Logie"
"22","Luke Stedman"
"23","Jordy Smith"
"24","Dusty Payne"
"25","Nathan Yeomans"
"26","Ben Dunn"
"27","Matt Wilkinson"
"28","Marco Polo"
"29","Chris Davidson"
"30","Taj Burrow"
"31","Taumata Puhetini"
"32","Bede Durbidge"
"33","Tim Reyes"
"34","Bobby Martinez"
"35","Jadson Andre"
"36","Taylor Knox"
"37","Drew Courtney"
"38","Neco Padaratz"
"39","Tanner Gudauskas"
"40","Mick Campbell"
"41","Kieren Perrow"
"42","Roy Powers"
"43","Tom Whitaker"
"44","Kekoa Bacalso"
"45","Brett Simpson"
