"","x"
"1","Kelly Slater"
"2","Owen Wright"
"3","Heitor Alves"
"4","Julian Wilson"
"5","Adriano de Souza"
"6","Josh Kerr"
"7","Mick Fanning"
"8","Joel Parkinson"
"9","Taj Burrow"
"10","Jeremy Flores"
"11","Damien Hobgood"
"12","Adrian Buchan"
"13","Kai Otton"
"14","Jadson Andre"
"15","Freddy Patacchia Jr."
"16","Michel Bourez"
"17","Gabriel Medina"
"18","Tom Whitaker"
"19","John John Florence"
"20","Kieren Perrow"
"21","Chris Davidson"
"22","Brett Simpson"
"23","Matt Wilkinson"
"24","Taylor Knox"
"25","Conner Coffin"
"26","Bede Durbidge"
"27","Adam Melling"
"28","Alejo Muniz"
"29","Travis Logie"
"30","Tiago Pires"
"31","Raoni Monteiro"
"32","Dusty Payne"
"33","Miguel Pupo"
"34","Daniel Ross"
"35","Patrick Gudauskas"
