"","x"
"1","Adriano de Souza"
"2","Adrian Buchan"
"3","Yago Dora"
"4","Matt Wilkinson"
"5","Joel Parkinson"
"6","Mick Fanning"
"7","Jordy Smith"
"8","Owen Wright"
"9","Wiggolly Dantas"
"10","Gabriel Medina"
"11","Julian Wilson"
"12","Kanoa Igarashi"
"13","Ian Gouveia"
"14","Sebastian Zietz"
"15","Bede Durbidge"
"16","Jeremy Flores"
"17","Connor O'Leary"
"18","John John Florence"
"19","Jadson Andre"
"20","Caio Ibelli"
"21","Josh Kerr"
"22","Filipe Toledo"
"23","Frederico Morais"
"24","Nat Young"
"25","Kolohe Andino"
"26","Bino Lopes"
"27","Jesse Mendes"
"28","Leonardo Fioravanti"
"29","Michel Bourez"
"30","Ethan Ewing"
"31","Joan Duru"
"32","Conner Coffin"
"33","Stuart Kennedy"
"34","Miguel Pupo"
"35","Jack Freestone"
"36","Ezekiel Lau"
