"","x"
"1","Mick Fanning"
"2","Kelly Slater"
"3","Jeremy Flores"
"4","Joel Parkinson"
"5","Owen Wright"
"6","Josh Kerr"
"7","Kai Otton"
"8","Jordy Smith"
"9","John John Florence"
"10","Adriano de Souza"
"11","Brett Simpson"
"12","C.J. Hobgood"
"13","Yadin Nicol"
"14","Matt Wilkinson"
"15","Jadson Andre"
"16","Tiago Pires"
"17","Bede Durbidge"
"18","Taj Burrow"
"19","Raoni Monteiro"
"20","Gabriel Medina"
"21","Travis Logie"
"22","Damien Hobgood"
"23","Freddy Patacchia Jr."
"24","Davey Cathels"
"25","Julian Wilson"
"26","Taylor Knox"
"27","Patrick Gudauskas"
"28","Michel Bourez"
"29","Alejo Muniz"
"30","Heitor Alves"
"31","Miguel Pupo"
"32","Adrian Buchan"
"33","Kieren Perrow"
"34","Kolohe Andino"
"35","Adam Melling"
