"","x"
"1","Keanu Asing"
"2","Gabriel Medina"
"3","John John Florence"
"4","Kolohe Andino"
"5","Matt Banting"
"6","Filipe Toledo"
"7","Julian Wilson"
"8","Kai Otton"
"9","Stuart Kennedy"
"10","Adriano de Souza"
"11","Caio Ibelli"
"12","Sebastian Zietz"
"13","Adrian Buchan"
"14","Conner Coffin"
"15","Italo Ferreira"
"16","Davey Cathels"
"17","Nat Young"
"18","Ryan Callinan"
"19","Leonardo Fioravanti"
"20","Kanoa Igarashi"
"21","Jack Freestone"
"22","Alejo Muniz"
"23","Miguel Pupo"
"24","Matt Wilkinson"
"25","Joan Duru"
"26","Jordy Smith"
"27","Kelly Slater"
"28","Joel Parkinson"
"29","Jeremy Flores"
"30","Alex Ribeiro"
"31","Michel Bourez"
"32","Josh Kerr"
"33","Adam Melling"
"34","Wiggolly Dantas"
"35","Dusty Payne"
"36","Jadson Andre"
