"","x"
"1","Michel Bourez"
"2","Kolohe Andino"
"3","Kelly Slater"
"4","Taj Burrow"
"5","Nat Young"
"6","Bede Durbidge"
"7","Jordy Smith"
"8","Sebastian Zietz"
"9","Adriano de Souza"
"10","Travis Logie"
"11","Joel Parkinson"
"12","Josh Kerr"
"13","Gabriel Medina"
"14","Mitch Crews"
"15","Aritz Aranburu"
"16","Julian Wilson"
"17","Filipe Toledo"
"18","David do Carmo"
"19","Tiago Pires"
"20","John John Florence"
"21","Jadson Andre"
"22","Alejo Muniz"
"23","Adrian Buchan"
"24","Dion Atkinson"
"25","Mick Fanning"
"26","Glenn Hall"
"27","Brett Simpson"
"28","Raoni Monteiro"
"29","C.J. Hobgood"
"30","Owen Wright"
"31","Miguel Pupo"
"32","Freddy Patacchia Jr."
"33","Matt Wilkinson"
"34","Jeremy Flores"
"35","Adam Melling"
