"","x"
"1","John John Florence"
"2","Joel Parkinson"
"3","Mick Fanning"
"4","Josh Kerr"
"5","Tiago Pires"
"6","Alejo Muniz"
"7","Julian Wilson"
"8","Adriano de Souza"
"9","Jordy Smith"
"10","Michel Bourez"
"11","Jeremy Flores"
"12","Taj Burrow"
"13","Owen Wright"
"14","Brett Simpson"
"15","Kolohe Andino"
"16","Bede Durbidge"
"17","Heitor Alves"
"18","Patrick Gudauskas"
"19","Miguel Pupo"
"20","C.J. Hobgood"
"21","Adam Melling"
"22","Adrian Buchan"
"23","Travis Logie"
"24","Gabriel Medina"
"25","Tomas Hermes"
"26","Willian Cardoso"
"27","Taylor Knox"
"28","Damien Hobgood"
"29","Jadson Andre"
"30","Freddy Patacchia Jr."
"31","Yadin Nicol"
"32","Raoni Monteiro"
"33","Kai Otton"
"34","Kieren Perrow"
"35","Matt Wilkinson"
