"","x"
"1","Mick Fanning"
"2","Gabriel Medina"
"3","Joel Parkinson"
"4","Filipe Toledo"
"5","Kai Otton"
"6","John John Florence"
"7","Kelly Slater"
"8","Julian Wilson"
"9","Michel Bourez"
"10","Taj Burrow"
"11","Jordy Smith"
"12","Brett Simpson"
"13","Alejo Muniz"
"14","Freddy Patacchia Jr."
"15","Patrick Gudauskas"
"16","Kolohe Andino"
"17","Sebastian Zietz"
"18","Aritz Aranburu"
"19","Jeremy Flores"
"20","Adriano de Souza"
"21","Miguel Pupo"
"22","Adrian Buchan"
"23","Kieren Perrow"
"24","Leonardo Fioravanti"
"25","Dane Reynolds"
"26","Josh Kerr"
"27","Yadin Nicol"
"28","C.J. Hobgood"
"29","Damien Hobgood"
"30","Nat Young"
"31","Adam Melling"
"32","Matt Wilkinson"
"33","Bede Durbidge"
"34","Travis Logie"
