"","x"
"1","John John Florence"
"2","Jadson Andre"
"3","Josh Kerr"
"4","Jordy Smith"
"5","Kolohe Andino"
"6","Gabriel Medina"
"7","Miguel Pupo"
"8","Kelly Slater"
"9","Mick Fanning"
"10","Matt Wilkinson"
"11","Filipe Toledo"
"12","Taj Burrow"
"13","Dion Atkinson"
"14","Freddy Patacchia Jr."
"15","Michel Bourez"
"16","Sebastian Zietz"
"17","Adrian Buchan"
"18","Jeremy Flores"
"19","Travis Logie"
"20","Owen Wright"
"21","Adriano de Souza"
"22","Kai Otton"
"23","Julian Wilson"
"24","Joel Parkinson"
"25","Dane Reynolds"
"26","Matt Banting"
"27","Raoni Monteiro"
"28","Brett Simpson"
"29","Nat Young"
"30","Aritz Aranburu"
"31","Bede Durbidge"
"32","C.J. Hobgood"
"33","Alejo Muniz"
"34","Mitch Crews"
"35","Adam Melling"
"36","Tiago Pires"
